AUTHORISATION ID / PERMIT ID,ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (µg/L),Latitude,Longitude,REGION
001229,,SOUTH WEST WATER LTD,EXETER STW (Countess Wear),EX2 7AA,294800.0,89000.0,"Devon, Cornwall and the Isles of Scilly",Controlled Waters,Fluoranthene,0.1,0.14,Water Industry,Water Industry,,50.69110641761321,-3.4907104289958726,South West
001229,,SOUTH WEST WATER LTD,EXETER STW (Countess Wear),EX2 7AA,294800.0,89000.0,"Devon, Cornwall and the Isles of Scilly",Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,,50.69110641761321,-3.4907104289958726,South West
001229,,SOUTH WEST WATER LTD,EXETER STW (Countess Wear),EX2 7AA,294800.0,89000.0,"Devon, Cornwall and the Isles of Scilly",Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,,50.69110641761321,-3.4907104289958726,South West
010005,,Wessex Water,BATH (SALTFORD) STW,BS31 3ER,368900.0,168800.0,Wessex,Controlled Waters,Fluoranthene,0.1,0.1,Water Industry,Water Industry,,51.41735547857703,-2.448613053184618,South West
010005,,Wessex Water,BATH (SALTFORD) STW,BS31 3ER,368900.0,168800.0,Wessex,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,,51.41735547857703,-2.448613053184618,South West
010005,,Wessex Water,BATH (SALTFORD) STW,BS31 3ER,368900.0,168800.0,Wessex,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,,51.41735547857703,-2.448613053184618,South West
0166993397,,UNITED UTILITIES WATER PLC,Liverpool Waste Water Treatment Sandon Dock Regent Road Liverpool Merseyside,L3 0BE,333730.0,392800.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,3.8,Water Industry,Water Industry,,53.427806585903376,-2.998815240786531,North West
0166993397,,UNITED UTILITIES WATER PLC,Liverpool Waste Water Treatment Sandon Dock Regent Road Liverpool Merseyside,L3 0BE,333730.0,392800.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,2.94,Water Industry,Water Industry,,53.427806585903376,-2.998815240786531,North West
0166993397,,UNITED UTILITIES WATER PLC,Liverpool Waste Water Treatment Sandon Dock Regent Road Liverpool Merseyside,L3 0BE,333730.0,392800.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,Fluoranthene,0.1,0.67,Water Industry,Water Industry,,53.427806585903376,-2.998815240786531,North West
016810030,,UNITED UTILITIES WATER PLC,ELLESMERE PORT,,343200.0,374650.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,,53.26578798251581,-2.8530490908029025,North West
